latitude,longitude,station
64.50144,26.42386,Vaala_Pelso
65.40014,26.96311,Pudasjärvi_lentokenttä
64.93125,28.74672,Suomussalmi_Pesiö
64.66404,28.05673,Puolanka_Paljakka
65.78944,24.58278,Kemi_Kemi-Tornio_lentoasema
65.67319,24.5152,Kemi_Ajos
65.84733,24.17369,Tornio_Torppi
65.97717,26.36757,Ranua_lentokenttä
65.57489,28.21766,Taivalkoski_kirkonkylä
65.99334,29.22715,Kuusamo_lentoasema
66.36999,29.31193,Kuusamo_Kiutaköngäs
66.16614,29.15177,Kuusamo_Rukatunturi
66.32027,29.39967,Kuusamo_Juuma
66.52952,24.6496,Ylitornio_Meltosjärvi
66.77278,23.96303,Pello_kirkonkylä
66.56236,25.83814,Rovaniemi_lentoasema
66.49832,25.7088,Rovaniemi_rautatieasema
67.36663,26.62901,Sodankylä_Tähtelä
66.57944,26.01094,Rovaniemi_Apukka
66.71556,27.15906,Kemijärvi_lentokenttä
67.28611,28.17691,Savukoski_kirkonkylä
67.02204,27.2184,Pelkosenniemi_Pyhätunturi
66.8166,28.68829,Salla_kirkonkylä
67.16226,29.17766,Salla_Naruska
68.3614,23.42755,Enontekiö_lentoasema
68.06284,24.03335,Muonio_Laukukero
67.97328,24.11559,Muonio_Sammaltunturi
67.99997,24.24001,Kittilä_Matorova
67.69168,24.85538,Kittilä_lentoasema
67.98721,24.24301,Kittilä_Kenttärova
67.65202,24.90179,Kittilä_kirkonkylä
68.16961,25.78316,Kittilä_Pokka
67.82147,27.74597,Sodankylä_Lokka
68.08422,27.18501,Sodankylä_Vuotso
68.41506,27.41326,Inari_Saariselkä_matkailukeskus
68.43394,27.4441,Inari_Saariselkä_Kaunispää
68.478,28.30123,Inari_Raja-Jooseppi
67.74858,29.61132,Salla_Värriötunturi
69.03905,20.81379,Enontekiö_Kilpisjärvi_kyläkeskus
69.04277,20.85091,Enontekiö_Kilpisjärvi_Saana
68.60301,23.57595,Enontekiö_Näkkälä
68.90296,25.73646,Inari_Angeli_Lintupuoliselkä
68.61335,27.41897,Inari_Ivalo_lentoasema
69.75637,27.00678,Utsjoki_Kevo
70.08203,27.8965,Utsjoki_Nuorgam
69.07219,27.4925,Inari_Väylä
69.14089,27.26567,Inari_Kaamanen
68.84928,28.29911,Inari_Nellim
69.5825,28.89409,Inari_Kirakkajärvi
60.4846,25.08207,Järvenpää_Sorto
60.62773,25.19342,Mäntsälä_Hirvihaara
60.21935,25.17268,Helsinki_Vuosaari_Käärmeniementie
60.97465,25.6202,Lahti_Sopenkorpi
60.10121,25.19439,Sipoo_Itätoukki
61.13663,21.51533,Rauma_Pyynpää
67.95829,23.68449,Muonio_kirkonkylä
60.48595,26.59209,Pyhtää_lentokenttä
65.99763,29.22268,Kuusamo_Välikangas
63.99618,28.05972,Sotkamo_Tuhkakylä
66.15344,24.9901,Tervola_Loue
64.21678,27.75194,Kajaani_Petäisenniska
69.757,27.012,Utsjoki_Kevo_Kevojärvi
69.04851,27.75679,Inari_Seitalaassa
66.57283,25.84865,Rovaniemi_lentoasema_AWOS
62.39332,25.68862,Jyväskylä_lentoasema_AWOS
61.52242,28.18491,Puumala_kirkonkylä
60.20867,25.1959,Helsinki_Vuosaari_satama
60.09136,19.9291,Maarianhamina_Länsisatama
60.11584,20.29765,Lumparland_Långnäs_satama
61.50124,23.76478,Tampere_Tampella
67.99746,24.20955,Kittilä_Lompolonvuoma
66.1716,29.13646,Kuusamo_Ruka_Talvijärvi
60.29128,24.56782,Espoo_Nuuksio
60.17797,24.78743,Espoo_Tapiola
