Call;Organisation;Project title;Applicant / Contact person;Decision No.;Decision date;Funding period;Funding
ELSA Genomics KY;University of Helsinki;Privacy Regimes in Variation and Transformation -- The Emerging Field of Post-genomics;Helén, Ilpo;134764;25.09.2009;01.11.2009 - 31.12.2012;300.000
ELSA Genomics KY;University of Helsinki;Translational research in genomic medicine: Institutional and social aspects (TRi-Gen);Haukkala, Ari;135268;25.09.2009;01.10.2009 - 31.12.2012;82.840
ERA-NET CIRCLE NORDIC (suunnattu rahoitus) BY;Finnish Environment Institute;CARAVAN  Climate change: A regional assessment of vulnerability and adaptive capacity for the Nordic countries;Carter, Timothy;129195;08.05.2008;01.06.2008 - 31.12.2010;48.000
ERA-NET CIRCLE NORDIC (targeted funding) BY;Finnish Meteorological Institute;CLIMATE CHANGE ADAPTATION IN NORWAY, SWEDEN, AND FINLAND ¿ DO RESEARCH, POLICY AND PRACTICE MEET?;Tuomenvirta, Heikki;129169;08.05.2008;01.06.2008 - 31.12.2009;15.000
ERA-NET CIRCLE NORDIC (targeted funding) BY;University of Helsinki;Sopeutuminen ilmastonmuutokseen Norjassa Ruotsissa ja Suomessa - kohtaavatko tutkimus, politiikka ja käytäntö?;Ollikainen, Markku;129204;08.05.2008;01.06.2008 - 31.12.2009;15.000
ERA-NET CIRCLE NORDIC (targeted funding) BY;University of Lapland;Climate Change, Community Response and Multilevel Governance;Koivurova, Timo;129192;08.05.2008;01.06.2008 - 31.12.2009;21.640
ERA-NET NanoSciE+, kutsuhaku LT;Tampere University of Technology -2018;Active Plasmonics and Lossless Metamaterials / Consortium: ACEPLAN;Simonen, Janne Petri Juhani;131411;11.06.2009;11.06.2009 - 31.12.2012;185.570
ERA-NET Neuron, kutsuhaku TT;University of Helsinki;Development of an experimental therapeutic strategy using the newly identified growth factor CDNF for treatment of Parkinson's disease.;Saarma, Mart;130268;29.12.2008;01.01.2009 - 31.12.2011;176.430
ERA-NET Neuron, kutsuhaku TT;University of Helsinki;Long-term effects of CDNF in rat unilateral 6-OHDA model of Parkinsons disease;Tuominen, Raimo;130245;29.12.2008;01.01.2009 - 31.12.2012;176.420
ERA-NET Pathogenomics, kutsuhaku TT;Finnish Institute for Health and Welfare;MECHANISMS AND MODULATION OF INNATE IMMUNE RESPONSES TO STREPTOCOCCUS PNEUMONIAE AND STREPTOCOCCUS PYOGENES;Julkunen, Ilkka;130098;29.01.2009;01.02.2009 - 31.01.2012;192.010
ERA-NET Pathogenomics, kutsuhaku TT;University of Helsinki;Genome wide screening of the human pathogen Neisseria meningitidis for proteins enhancing serum resistance and evaluation of their vaccine potential;MERI, Seppo;130190;29.01.2009;01.02.2009 - 31.01.2012;247.560
ERA-NET Pathogenomics, kutsuhaku TT;University of Helsinki;Pathogenomic approach to explore the use of bacterial interference as alternative treatment of recurrent urinary tract infections;Korhonen, Timo K;130202;29.01.2009;01.02.2009 - 31.01.2012;177.070
ERA-NET Pathogenomics, kutsuhaku TT;University of Helsinki;Transcriptome-based Monitoring and Eradication of Chronic Chlamydial Infection   - ChlamyTrans -;Puolakkainen, Mirja;130043;29.01.2009;01.02.2009 - 31.01.2013;128.590
ERA-NET SysBio 2nd Call, kutsuhaku BY;University of Helsinki;iSAM: Integrative Systems Analysis of the Shoot Apical Meristem;Helariutta, Yrjö;135319;11.12.2009;01.03.2010 - 31.12.2013;115.680
ERA-NET SysBio 2nd Call, kutsuhaku TT;Aalto University;Systems approach to gene regulation biology through nuclear receptors (SYNERGY);Honkela, Antti;135311;11.12.2009;01.03.2010 - 31.12.2013;63.900
ERA-NET SysBio 2nd Call, kutsuhaku TT;Tampere University of Technology -2018;Signalling pathways and gene regulatory networks responsible for Th17 cell differentiation / Consortium: Tcellnet;Lähdesmäki, Harri;135320;11.12.2009;01.03.2010 - 31.12.2013;88.560
ERA-NET SysBio 2nd Call, kutsuhaku TT;University of Helsinki;Systems approach to gene regulation biology through nuclear receptors (SYNERGY);Hautaniemi, Sampsa;135286;11.12.2009;01.03.2010 - 31.12.2013;72.420
ERA-NET SysBio 2nd Call, kutsuhaku TT;University of Helsinki;Systems approach to gene regulation biology through nuclear receptors (SYNERGY);Jänne, Olli;135317;11.12.2009;01.03.2010 - 31.12.2013;61.350
ERA-NET SysBio 2nd Call, kutsuhaku TT;University of Turku;Signalling pathways and gene regulatory networks responsible for Th17 cell differentiation / Consortium: Tcellnet;Lahesmaa, Riitta Liisa Maria;135316;11.12.2009;01.03.2010 - 31.12.2013;97.980
ERA-Neuron 2010, kutsuhaku TT;University of Helsinki;Dysfunctional neuronal networks in alcoholism: Utilizing translational neuroimaging to identify altered brain connectivity and treatment efficacy predictors;Hyytiä, Petri;141107;19.01.2011;01.01.2011 - 31.12.2013;255.571
ERC-hakijoiden kilpailukyvyn vahvistaminen KY;University of Helsinki;Auditory brains in action: unravelling the functional organization of the listening brain (atbrain);Rinne, Teemu;141553;21.03.2011;22.03.2011 - 21.03.2012;110.000
ERC-hakijoiden kilpailukyvyn vahvistaminen LT;Aalto University;Microwave photonics;Möttönen, Mikko;141557;21.03.2011;22.03.2011 - 21.03.2012;120.000
ERC-hakijoiden kilpailukyvyn vahvistaminen LT;Aalto University;Quantum microwave photonics;Paraoanu, Gheorghe-Sorin;141559;21.03.2011;22.03.2011 - 21.03.2012;103.999
