Call;Organisation;Project title;Applicant / Contact person;Decision No.;Decision date;Funding period;Funding
2008 ERA-NET Plant Genomics BY;University of Helsinki;Investigating the role of short RNAs on wood formation, cambium development and adaptation of poplar tree;Helariutta, Yrjö;129941;16.12.2008;01.01.2009 - 31.12.2012;245.380
2008 ERA-NET Plant Genomics BY;University of Helsinki;Plant Receptor-like Kinases in ROS Signaling;Kangasjärvi, Jaakko;129940;16.12.2008;01.01.2009 - 31.12.2011;250.300
2008 ESF-hankeyhteistyö  humanistisilla ja yhteiskuntatieteellisillä aloilla KY;University of Helsinki;Popular and street level bureaucrats' attitudes to welfare policies;Blomberg, Helena Kaarina;129153;28.03.2008;01.01.2009 - 31.12.2012;180.010
2008 ESF-hankeyhteistyö  humanistisilla ja yhteiskuntatieteellisillä aloilla KY;University of Tampere -2018;Logic for Interaction;Hella, Lauri;129208;25.04.2008;01.05.2008 - 31.12.2010;138.740
2008 ESF-hankeyhteistyö  humanistisilla ja yhteiskuntatieteellisillä aloilla KY;University of Turku;Towards voting methods based on richer information about voter opinions;Nurmi, Hannu Juhani;129147;28.03.2008;01.08.2008 - 31.12.2011;135.050
AP-viroista AP-tehtäviin siirtyvät BY;University of Eastern Finland;Ecotoxicology of natural organic material (nom) in aquatic systems: characterization and effects on contaminants and organisms;Kukkonen, Jussi;218346;05.01.2010;01.01.2010 - 31.07.2010;80.000
AP-viroista AP-tehtäviin siirtyvät BY;University of Helsinki;Evolutionary Genetics of Adaptation in the Wild;Merilä, Juha;218343;05.01.2010;01.01.2010 - 31.07.2011;217.110
AP-viroista AP-tehtäviin siirtyvät BY;University of Helsinki;Growth control and cancer;Taipale, Jussi;218350;05.01.2010;01.01.2010 - 31.12.2012;143.939
AP-viroista AP-tehtäviin siirtyvät BY;University of Helsinki;Integrating development and evolution at multiple levels;Jernvall, Jukka;218342;05.01.2010;01.01.2010 - 31.12.2014;599.800
AP-viroista AP-tehtäviin siirtyvät BY;University of Helsinki;Metapopulaatiobiologia;Hanski, Ilkka A;218008;05.01.2010;01.01.2010 - 31.07.2011;217.110
AP-viroista AP-tehtäviin siirtyvät BY;University of Helsinki;Molecular mechanisms of resistance to potyviruses;Valkonen, Jari;218345;05.01.2010;01.01.2010 - 31.07.2011;217.090
AP-viroista AP-tehtäviin siirtyvät BY;University of Helsinki;Research on cyanobacteria and their bioactive compounds;Sivonen, Kaarina;218344;05.01.2010;01.01.2010 - 31.07.2010;79.980
AP-viroista AP-tehtäviin siirtyvät BY;University of Jyväskylä;EVOLUTIONARY ECOLOGY OF SPECIES INTERACTIONS: LINKAGE BETWEEN GENETICS, BEHAVIOUR AND COMMUNITY ECOLOGY;Mappes, Riitta Johanna;218349;05.01.2010;01.01.2010 - 31.12.2013;479.840
AP-viroista AP-tehtäviin siirtyvät BY;VTT Technical Research Centre of Finland Ltd;Food factors decisive for digestibility and nutrient signalling;Poutanen, Kaisa;218351;05.01.2010;01.01.2010 - 30.04.2015;599.800
AP-viroista AP-tehtäviin siirtyvät KY;University of Helsinki;Equilibrium enemployment, optimal taxation and forest economics;Koskela, Erkki;218138;11.01.2010;01.01.2010 - 31.07.2011;219.950
AP-viroista AP-tehtäviin siirtyvät KY;University of Helsinki;Kansainvälisen oikeuden rajat;Koskenniemi, Martti;218141;11.01.2010;01.01.2010 - 31.07.2010;82.840
AP-viroista AP-tehtäviin siirtyvät KY;University of Helsinki;Sociolinguistics of the History of English: Materials, Models and Methods;Nevalainen, Terttu;218143;11.01.2010;01.01.2010 - 31.12.2014;599.800
AP-viroista AP-tehtäviin siirtyvät KY;University of Helsinki;Trends and tensions in intellectual integration [TINT]:   Studies on interdisciplinary and intertheoretic relations in the social sciences, with special attention to the role and credibility of economics;Mäki, Uskali;218142;11.01.2010;01.01.2010 - 31.07.2011;219.950
AP-viroista AP-tehtäviin siirtyvät KY;University of Jyväskylä;THE POLITICS OF DISSENSUS  Parliamentarism, Rhetoric and Conceptual History;Palonen, Kari;218179;11.01.2010;01.01.2010 - 31.12.2012;359.880
AP-viroista AP-tehtäviin siirtyvät KY;University of Oulu;Region-building, boundaries and identity in a globalizing world;Paasi, Anssi;218198;11.01.2010;01.01.2010 - 31.12.2012;359.880
AP-viroista AP-tehtäviin siirtyvät KY;University of Tampere -2018;The Moderns: A Study on the Governmentality of World Society;Alasuutari, Pertti Juhani;218200;11.01.2010;01.01.2010 - 31.12.2013;479.840
AP-viroista AP-tehtäviin siirtyvät KY;University of Turku;Gendered Economy Embedded in Equality? Explorations of gender in the context of global corporations, local firms and the changing welfare society.;Kovalainen, Anne;218207;11.01.2010;01.01.2010 - 31.12.2014;599.800
AP-viroista AP-tehtäviin siirtyvät KY;University of Turku;Origin and extensions of number concept in children and adolescents: A developmental and educational approach;Lehtinen, Erno;218208;11.01.2010;01.01.2010 - 31.12.2014;599.800
AP-viroista AP-tehtäviin siirtyvät LT;Aalto University;Akatemiaprofessorin virka;Ikkala, Olli;218328;05.01.2010;01.01.2010 - 31.07.2010;79.980
AP-viroista AP-tehtäviin siirtyvät LT;Aalto University;Design of Novel Functional Oxide Materials:  From Bulks to Thin Films;Karppinen, Maarit;218329;05.01.2010;01.01.2010 - 31.12.2013;479.880
AP-viroista AP-tehtäviin siirtyvät LT;Aalto University;Electromagnetics of geophysical, composite, and metamaterials;Sihvola, Ari;218331;05.01.2010;01.01.2010 - 31.07.2010;79.980
AP-viroista AP-tehtäviin siirtyvät LT;Aalto University;Signal Processing for Cognitive Radios, Sensor Arrays and Future Wireless Systems;Koivunen, Visa;218330;05.01.2010;01.01.2010 - 31.12.2014;599.850
AP-viroista AP-tehtäviin siirtyvät LT;University of Eastern Finland;Akatemiaprofessorin virka;Turunen, Jari;218323;05.01.2010;01.01.2010 - 31.07.2010;79.980
AP-viroista AP-tehtäviin siirtyvät LT;University of Helsinki;Ilmoittautuminen akatemiaprofessorin virkaan;Astala, Kari;218321;05.01.2010;01.01.2010 - 31.07.2011;217.100
AP-viroista AP-tehtäviin siirtyvät LT;University of Helsinki;Particle cosmology;Enqvist, Kari;218322;05.01.2010;01.01.2010 - 31.12.2014;599.850
AP-viroista AP-tehtäviin siirtyvät LT;University of Jyväskylä;Geometric analysis;Koskela, Pekka;218324;05.01.2010;01.01.2010 - 31.12.2014;599.850
AP-viroista AP-tehtäviin siirtyvät LT;University of Jyväskylä;Self-Assembly of Nano-sized Supramolecular Assemblies;Rissanen, Kari;218325;05.01.2010;01.01.2010 - 31.12.2012;359.910
AP-viroista AP-tehtäviin siirtyvät LT;University of Oulu;Ilmoittautuminen akatemiaprofessorin virkaan;Kostamovaara, Juha;218326;05.01.2010;01.01.2010 - 31.07.2011;217.100
AP-viroista AP-tehtäviin siirtyvät LT;University of Tampere -2018;Nonparametric and robust multivariate methods with applications;Oja, Hannu;218327;05.01.2010;01.01.2010 - 31.12.2012;359.910
AP-viroista AP-tehtäviin siirtyvät LT;VTT Technical Research Centre of Finland;Ilmoittautuminen akatemiaprofessorin virkaan;Wallin, Kim;218332;05.01.2010;01.01.2010 - 31.07.2011;217.100
AP-viroista AP-tehtäviin siirtyvät LT;Åbo Akademi University;Continuous intensified production of nature-based chemicals;Salmi, Tapio;218333;05.01.2010;01.01.2010 - 31.12.2013;479.880
AP-viroista AP-tehtäviin siirtyvät TT;Aalto University;Neural organization of language function;Salmelin, Riitta;218073;05.01.2010;01.01.2010 - 31.07.2011;217.090
AP-viroista AP-tehtäviin siirtyvät TT;Aalto University;Two-person neuroscience;Hari, Riitta;218072;05.01.2010;01.01.2010 - 31.12.2014;599.800
AP-viroista AP-tehtäviin siirtyvät TT;University of Eastern Finland;Biology and applications of therapeutic vascular growth;Ylä-Herttuala, Seppo;218070;05.01.2010;01.01.2010 - 31.07.2010;79.980
AP-viroista AP-tehtäviin siirtyvät TT;University of Eastern Finland;Identification of new genes for type 2 diabetes;Laakso, Markku;218069;05.01.2010;01.01.2010 - 31.07.2010;79.980
AP-viroista AP-tehtäviin siirtyvät TT;University of Helsinki;Basic and translational cholesterol research using new lipid imaging techniques;Ikonen, Elina;218066;05.01.2010;01.01.2010 - 31.12.2014;599.800
AP-viroista AP-tehtäviin siirtyvät TT;University of Helsinki;Growth factors and receptors involved in Angiogenesis and Lymphangiogeneis;Alitalo, Kari;218065;05.01.2010;01.01.2010 - 31.05.2014;685.550
AP-viroista AP-tehtäviin siirtyvät TT;University of Helsinki;Novel neurotrophic factors and GDNF family neurotrophic factors: biology and therapeutic potential.;Saarma, Mart;218067;05.01.2010;01.01.2010 - 31.12.2013;479.840
AP-viroista AP-tehtäviin siirtyvät TT;University of Helsinki;"TumorGene Research Program; registry-based identification of novel cancer susceptibility phenotypes and genes";Aaltonen, Lauri A.;218064;05.01.2010;01.01.2010 - 31.12.2012;359.880
AP-viroista AP-tehtäviin siirtyvät TT;University of Helsinki;Tyrosine Kinases as Targets for   Adjuvant Systemic Treatment of Cancer;Joensuu, Heikki T;218068;05.01.2010;01.01.2010 - 31.12.2014;599.800
AP-viroista AP-tehtäviin siirtyvät TT;University of Tampere -2018;Mitochondria, Ageing and Disease;Jacobs, Howard;218071;05.01.2010;01.01.2010 - 31.07.2011;217.090
AT-viroista AT-tehtäviin siirtyvät BY;Finnish Environment Institute;Spatial scaling, metacommunity structure, and patterns in stream communities;Heino, Jani;218133;05.01.2010;01.01.2010 - 31.07.2014;305.401
AT-viroista AT-tehtäviin siirtyvät BY;Finnish Forest Research Institute;Porolaidunnus ja tundramaan hiilivarastot muuttuvassa ilmastossa;Stark, Sari Hannele;218121;05.01.2010;01.01.2010 - 30.04.2012;160.322
AT-viroista AT-tehtäviin siirtyvät BY;Finnish Forest Research Institute;Winter climatic change as a new stress factor in boreal forests: effects of ice encasement on plant, soil and their interactions;Martz, Francoise;218116;05.01.2010;01.01.2010 - 22.06.2011;42.290
AT-viroista AT-tehtäviin siirtyvät BY;Finnish Institute for Health and Welfare;Environmental health risk analysis: scientific uncertainties in decision-making;Tuomisto, Jouni;218114;05.01.2010;01.01.2010 - 31.07.2010;44.441
AT-viroista AT-tehtäviin siirtyvät BY;Stockholm university;Ecological and evolutionary functional genomic study of metapopulation dynamics;Wheat, Christopher;272144;05.01.2010;01.09.2012 - 31.07.2014;116.966
AT-viroista AT-tehtäviin siirtyvät BY;University of Eastern Finland;"""Bottom-up"" and ""top-down"" diversification effects in multitrophic food webs";Nyman, Tommi;218106;05.01.2010;01.01.2010 - 31.07.2013;238.771
AT-viroista AT-tehtäviin siirtyvät BY;University of Eastern Finland;Biogenic secondary organic aerosols: formation, composition and climate effects;Joutsensaari, Jorma;218115;05.01.2010;01.01.2010 - 31.07.2010;38.880
AT-viroista AT-tehtäviin siirtyvät BY;University of Eastern Finland;Negative gene regulation in the context of chromatin organization;Väisänen, Sami;218119;05.01.2010;01.01.2010 - 31.07.2010;44.441
AT-viroista AT-tehtäviin siirtyvät BY;University of Eastern Finland;The origin and role of cellular calcium signalling in mammalian heart development;Tavi, Pasi;218117;05.01.2010;01.01.2010 - 31.07.2013;238.771
AT-viroista AT-tehtäviin siirtyvät BY;University of Helsinki;Antagonistic species interactions and the evolution of bacterial virulence;Laakso, Jouni T;218085;05.01.2010;01.01.2010 - 31.03.2014;305.401
AT-viroista AT-tehtäviin siirtyvät BY;University of Helsinki;Biogeochemistry of silicon in soils and sediments;Tallberg, Petra;218100;05.01.2010;01.01.2010 - 31.12.2013;266.521
AT-viroista AT-tehtäviin siirtyvät BY;University of Helsinki;Ecological and evolutionary functional genomic study of metapopulation dynamics;Wheat, Christopher;218104;05.01.2010;01.01.2010 - 31.08.2012;188.434
AT-viroista AT-tehtäviin siirtyvät BY;University of Helsinki;Effect of fast cycling carbon on the decomposition of old soil organic matter (FASTCARBON);Pumpanen, Jukka;218094;05.01.2010;01.01.2010 - 31.07.2014;305.401
AT-viroista AT-tehtäviin siirtyvät BY;University of Helsinki;Endocytic Pathway in Late-Onset Alzheimer's Disease: New Models and Therapeutic Approaches;Huttunen, Henri;218081;05.01.2010;01.01.2010 - 31.07.2014;305.401
AT-viroista AT-tehtäviin siirtyvät BY;University of Helsinki;Functional Lipidimics for Excitable Cells;Käkelä, Reijo;218084;05.01.2010;01.01.2010 - 31.07.2010;44.441
AT-viroista AT-tehtäviin siirtyvät BY;University of Helsinki;Host-parasite metacommunity biology;van Nouhuys, Saskya;218102;05.01.2010;01.01.2010 - 31.07.2014;305.401
AT-viroista AT-tehtäviin siirtyvät BY;University of Helsinki;INTERACTIONS BETWEEN ECOLOGY AND GENETICS IN THE WILD;Brommer, Jon;218075;05.01.2010;01.01.2010 - 12.07.2012;158.681
AT-viroista AT-tehtäviin siirtyvät BY;University of Helsinki;Metacomunity dydamics of oak-associated organisms;Roslin, Tomas;218099;05.01.2010;01.01.2010 - 31.07.2010;44.441
AT-viroista AT-tehtäviin siirtyvät BY;University of Helsinki;Mire diversity and function -  successional change during primary paludification;Tuittila, Eeva-Stiina;218101;05.01.2010;01.01.2010 - 31.07.2011;120.601
AT-viroista AT-tehtäviin siirtyvät BY;University of Helsinki;NMR studies of protein splicing and its applications in structural biology;Iwai, Hideo;218082;05.01.2010;01.01.2010 - 31.07.2011;120.591
AT-viroista AT-tehtäviin siirtyvät BY;University of Helsinki;Origin and maintenance of phenotypic variation;Laaksonen, Toni;218086;05.01.2010;01.01.2010 - 30.04.2011;96.266
AT-viroista AT-tehtäviin siirtyvät BY;University of Helsinki;Photolytic decomposition of natural and xenobiotic organic matter in the environment;Vähätalo, Anssi;218105;05.01.2010;01.01.2010 - 31.07.2010;44.441
AT-viroista AT-tehtäviin siirtyvät BY;University of Helsinki;Physiological roles of kainate-type of glutamate receptors in the developing central nervous system;Lauri, Sari;218087;05.01.2010;01.01.2010 - 20.08.2014;222.121
AT-viroista AT-tehtäviin siirtyvät BY;University of Helsinki;Plant-plant transfer of symbiotically-fixed nitrogen in the nutrient cycle of tropical agroforestry systems;Nygren, Pekka;218090;05.01.2010;01.01.2010 - 31.07.2010;44.441
AT-viroista AT-tehtäviin siirtyvät BY;University of Helsinki;Regulation of the actin cytoskeleton in dendritic spines.;Hotulainen, Pirta;218079;05.01.2010;01.01.2010 - 24.02.2015;283.181
AT-viroista AT-tehtäviin siirtyvät BY;University of Helsinki;Representations of material spaces in the virtual space of the Internet;Koskela, Hille;218083;05.01.2010;01.01.2010 - 31.07.2012;172.141
AT-viroista AT-tehtäviin siirtyvät BY;University of Helsinki;Role of TNFR and NF-kB signaling in embryonic development;Mikkola, Marja;218088;05.01.2010;01.01.2010 - 31.07.2012;172.141
AT-viroista AT-tehtäviin siirtyvät BY;University of Helsinki;Role of actin and actin-binding proteins in the nucleus;Vartiainen, Maria;218103;05.01.2010;01.01.2010 - 24.10.2014;241.541
AT-viroista AT-tehtäviin siirtyvät BY;University of Helsinki;Russia's Integration to the World Economy through Foreign Direct Investments: Oil and mining sectors' investments to and from Russia;Rautio, Vesa;218095;05.01.2010;01.01.2010 - 31.07.2014;305.401
AT-viroista AT-tehtäviin siirtyvät BY;University of Helsinki;The mitochondrial serine protease LACTB and programmed cell death;Eriksson, Ove;218076;05.01.2010;01.01.2010 - 31.07.2010;44.441
AT-viroista AT-tehtäviin siirtyvät BY;University of Helsinki;The mysticete ear: structure and function, evolution and development;Nummela, Sirpa H;218089;05.01.2010;01.01.2010 - 31.07.2012;172.141
AT-viroista AT-tehtäviin siirtyvät BY;University of Helsinki;Transcription factors PROX1 and FOXC2 in the regulation of lymphatic vascular growth and  cancer;Petrova, Tatiana;218091;05.01.2010;01.01.2010 - 31.01.2010;6.360
AT-viroista AT-tehtäviin siirtyvät BY;University of Jyväskylä;Carbon fluxes and food web studies in northern aquatic ecosystems;Rautio, Milla;218110;05.01.2010;01.01.2010 - 30.04.2011;88.850
AT-viroista AT-tehtäviin siirtyvät BY;University of Jyväskylä;Host cell profiling during virus entry- Echovirus 1 entry via caveosomes as a model;Marjomäki, Varpu;218109;05.01.2010;01.01.2010 - 31.07.2012;172.141
AT-viroista AT-tehtäviin siirtyvät BY;University of Jyväskylä;Invasion biology and evolvability of invasive species;Lindström, Leena;218108;05.01.2010;01.01.2010 - 31.07.2011;120.591
AT-viroista AT-tehtäviin siirtyvät BY;University of Jyväskylä;Maternal effects and life-history evolution in natural populations;Siitari, Heli Satu Maarit;218111;05.01.2010;01.01.2010 - 10.06.2013;172.126
AT-viroista AT-tehtäviin siirtyvät BY;University of Jyväskylä;Nitrogen-fixing endosymbionts of mosses - a missing link in the nitrogen budgets of boreal ecosystems?;Tiirola, Marja;218112;05.01.2010;01.01.2010 - 28.09.2012;172.141
AT-viroista AT-tehtäviin siirtyvät BY;University of Jyväskylä;Sexual conflict, sexually antagonistic genes and the maintenance of genetic variation;Koskela, Esa;218107;05.01.2010;01.01.2010 - 31.07.2012;172.141
AT-viroista AT-tehtäviin siirtyvät BY;University of Jyväskylä;VIRUS-CELL RECOGNITION AND INTRACTIONS;Vihinen-Ranta, Maija;218113;05.01.2010;01.01.2010 - 31.07.2010;44.441
AT-viroista AT-tehtäviin siirtyvät BY;University of Lapland;Porolaidunnus ja tundramaan hiilivarastot muuttuvassa ilmastossa;Stark, Sari Hannele;265231;05.01.2010;01.05.2012 - 31.07.2014;145.079
AT-viroista AT-tehtäviin siirtyvät BY;University of Oulu;Enzymes involved in cellular hypoxia response;Karppinen, Peppi;218129;05.01.2010;01.01.2010 - 31.07.2012;172.141
AT-viroista AT-tehtäviin siirtyvät BY;University of Oulu;Fatty and Lipoic Acid Metabolism of Yeast, Mice and Man;Kastaniotis, Alexander;218130;05.01.2010;01.01.2010 - 31.07.2014;305.401
AT-viroista AT-tehtäviin siirtyvät BY;University of Oulu;Flow of information in animal communities: mechanisms and implications;Forsman, Jukka;218126;05.01.2010;01.01.2010 - 31.07.2013;238.771
AT-viroista AT-tehtäviin siirtyvät BY;University of Oulu;Role of endophytic Methylobacterium in plant tissue;Pirttilä, Anna Maria;218131;05.01.2010;01.01.2010 - 31.07.2011;120.601
AT-viroista AT-tehtäviin siirtyvät BY;University of Oulu;The representation of multisensory information in the honeybee mushroom body;Vähäsöyrinki, Mikko;218132;05.01.2010;01.01.2010 - 31.07.2011;120.601
AT-viroista AT-tehtäviin siirtyvät BY;University of Oxford;Structures and Host Cell Interactions of Emerging Viruses;Huiskonen, Juha T;218080;05.01.2010;01.01.2010 - 31.12.2014;333.150
AT-viroista AT-tehtäviin siirtyvät BY;University of Turku;Chloroplast components of alternative electron transfer;Mulo, Paula;218195;05.01.2010;01.01.2010 - 31.07.2014;305.401
AT-viroista AT-tehtäviin siirtyvät BY;University of Turku;Cross-talk between light acclimation and defence reactions in plants;Kangasjärvi, Saijaliisa;218157;05.01.2010;01.01.2010 - 31.07.2014;305.401
AT-viroista AT-tehtäviin siirtyvät BY;University of Turku;Damage and Reparation: Philosophical Explorations in Conservation Biology and Environmental Sciences;Oksanen, Markku;218139;05.01.2010;01.01.2010 - 31.07.2014;305.401
AT-viroista AT-tehtäviin siirtyvät BY;University of Turku;Evolutionary and Ecological Immunology;Rantala, Markus;218140;05.01.2010;01.01.2010 - 31.07.2013;238.771
AT-viroista AT-tehtäviin siirtyvät BY;University of Turku;Legitimacy and effectiveness in global environmental governance (LEGITIMATE);Karlsson-Vinkhuyzen, Sylvia;218118;05.01.2010;01.01.2010 - 09.10.2013;137.641
AT-viroista AT-tehtäviin siirtyvät BY;University of Turku;Molecular basis of cyanobaterial acclimation to environmental stress;Tyystjärvi, Taina;218196;05.01.2010;01.01.2010 - 31.07.2013;238.771
AT-viroista AT-tehtäviin siirtyvät BY;University of Turku;Molecular systematics: integrating historical biogeography, historical species interactions and molecular evolution;Wahlberg, Mikko Niklas;218128;05.01.2010;01.01.2010 - 31.07.2011;120.601
AT-viroista AT-tehtäviin siirtyvät BY;University of Turku;Nutrition-related pollution impacts on birds;Eeva, Tapio;218135;05.01.2010;01.01.2010 - 31.07.2012;172.141
AT-viroista AT-tehtäviin siirtyvät BY;University of Turku;Parasitism in outbreaking populations of the autumnal moth;Klemola, Tero;218136;05.01.2010;01.01.2010 - 31.07.2010;44.441
AT-viroista AT-tehtäviin siirtyvät BY;University of Turku;The Transformation of Finnish Regional Policies: New Theoretical and Methodological Perspectives;Moisio, Sami;218137;05.01.2010;01.01.2010 - 31.07.2010;76.160
AT-viroista AT-tehtäviin siirtyvät BY;University of Turku;Translocation mechanism of multisubunit RNA polymerase;Belogurov, Georgi;218134;05.01.2010;01.01.2010 - 31.07.2014;305.401
AT-viroista AT-tehtäviin siirtyvät BY;VTT Technical Research Centre of Finland;Tools for the metabolic engineering of eukaryotic microbes;Richard, Peter;218127;05.01.2010;01.01.2010 - 31.07.2010;44.441
AT-viroista AT-tehtäviin siirtyvät BY;Yrkeshögskolan NOVIA;Interactive food web dynamics between cyanobacteria and copepods in the face of a changing climate and eutrophication;Engström-Öst, Jonna;218122;05.01.2010;01.01.2010 - 31.07.2013;238.771
AT-viroista AT-tehtäviin siirtyvät BY;Åbo Akademi University;Concealing colours and patterns: natural selection on prey appearance;Merilaita, Sami Jorma;218123;05.01.2010;01.01.2010 - 31.07.2013;238.771
AT-viroista AT-tehtäviin siirtyvät BY;Åbo Akademi University;Development, Applications and Continuous Improvement of Industrial Ecosystem Indicators (IEI);Korhonen, Jouni;218124;05.01.2010;01.01.2010 - 31.07.2010;44.441
AT-viroista AT-tehtäviin siirtyvät BY;Åbo Akademi University;Engineering muscarinic toxins for subtype-selective receptor ligands;Näsman, Johnny;218120;05.01.2010;01.01.2010 - 31.07.2011;120.601
AT-viroista AT-tehtäviin siirtyvät BY;Åbo Akademi University;"JNK Regulation of Dendritic Architecture; Role in Brain Physiology and Disease";Coffey, Eleanor;218125;05.01.2010;01.01.2010 - 31.07.2013;238.771
AT-viroista AT-tehtäviin siirtyvät KY;Aalto University;Co-production of innovations - an integrative theory of practice;Pantzar, Mika;218192;11.01.2010;01.01.2010 - 31.07.2011;122.181
AT-viroista AT-tehtäviin siirtyvät KY;Aalto University;Empirical Studies on New Forms of Compensation and Work Organization;Kalmi, Panu;218190;11.01.2010;01.01.2010 - 30.09.2012;178.791
AT-viroista AT-tehtäviin siirtyvät KY;Aalto University;Energy markets and environmental policy;Murto, Pauli;218180;11.01.2010;01.01.2010 - 31.07.2010;46.021
AT-viroista AT-tehtäviin siirtyvät KY;Aalto University;The analysis and design of socially sustainable work organizations;Kira, Mari;218303;11.01.2010;01.01.2010 - 31.07.2012;173.521
AT-viroista AT-tehtäviin siirtyvät KY;Aalto University;The computational mechanisms of speech perception in the human brain;May, Patrick;218306;11.01.2010;01.01.2010 - 31.07.2010;46.021
AT-viroista AT-tehtäviin siirtyvät KY;Finnish Institute for Health and Welfare;Social construction of dementia in technological products and systems;Topo, Päivi;218298;11.01.2010;01.01.2010 - 31.07.2011;122.181
AT-viroista AT-tehtäviin siirtyvät KY;The Finnish Institute of International Affairs;Humanitarianisms and World Orders;Aaltola, Mika;218277;11.01.2010;01.01.2010 - 31.12.2010;66.630
AT-viroista AT-tehtäviin siirtyvät KY;University of Helsinki;"""Struggle to Go Nowhere"". D. Z Phillips on the method of philosophy of religion";Koistinen, Timo;218222;11.01.2010;01.01.2010 - 31.07.2012;173.521
AT-viroista AT-tehtäviin siirtyvät KY;University of Helsinki;"""The Affective Foundations of the Social Bond ¿ the Marriage of the Romantic and the Scientific influences in French Sociology""";Arppe, Tiina;218199;11.01.2010;01.01.2010 - 31.07.2012;173.521
AT-viroista AT-tehtäviin siirtyvät KY;University of Helsinki;Adaptive model for vocal expression - development of emotional speech synthesis for Finnish;Vainio, Martti;218259;11.01.2010;01.01.2010 - 31.07.2013;240.151
AT-viroista AT-tehtäviin siirtyvät KY;University of Helsinki;Advanced topics in Samoyed linguistics;Salminen, Tapani;218253;11.01.2010;01.01.2010 - 31.07.2011;122.181
AT-viroista AT-tehtäviin siirtyvät KY;University of Helsinki;Changing Kinship Networks amont the Orthodox Saami;Polla, Matti;218233;11.01.2010;01.01.2010 - 31.07.2010;46.021
AT-viroista AT-tehtäviin siirtyvät KY;University of Helsinki;Conflicting Disciplines in Early Modern Satire;Kivistö, Sari;218221;11.01.2010;01.01.2010 - 31.07.2014;306.781
AT-viroista AT-tehtäviin siirtyvät KY;University of Helsinki;Culture, Development and IT Technology;Tenhunen, Sirpa;218255;11.01.2010;01.01.2010 - 31.07.2011;122.181
AT-viroista AT-tehtäviin siirtyvät KY;University of Helsinki;Ethics of Renewal: Person, Reason and Happiness;Heinämaa, Sara;218217;11.01.2010;01.01.2010 - 31.07.2013;240.151
AT-viroista AT-tehtäviin siirtyvät KY;University of Helsinki;From Defence to Assault - The Transformation of Polemical Strategies in Christian Literature in 300-340;Kahlos, Maijastina;218220;11.01.2010;01.01.2010 - 31.07.2011;122.181
AT-viroista AT-tehtäviin siirtyvät KY;University of Helsinki;Gender and Diversity in the Old and New Institutions of Public Policy-making in Finland;Holli, Anne;218218;11.01.2010;01.01.2010 - 31.07.2014;306.781
AT-viroista AT-tehtäviin siirtyvät KY;University of Helsinki;Gender and humour in early modern England;Korhonen, Anu;218223;11.01.2010;01.01.2010 - 31.07.2011;122.181
AT-viroista AT-tehtäviin siirtyvät KY;University of Helsinki;Globalisation of African Music: Value Chains for Anglophone and Francophone African Music;Pietilä, Tuulikki;218231;11.01.2010;01.01.2010 - 31.07.2013;240.151
AT-viroista AT-tehtäviin siirtyvät KY;University of Helsinki;Individual and collective emotions;Salmela, Mikko;218252;11.01.2010;01.01.2010 - 31.07.2014;306.781
AT-viroista AT-tehtäviin siirtyvät KY;University of Helsinki;Interactive Strategizing as a Challenge of Managing Collaborative Research Creativity;Engeström, Ritva K;218215;11.01.2010;01.01.2010 - 31.07.2013;240.151
AT-viroista AT-tehtäviin siirtyvät KY;University of Helsinki;Lapland Pioneers - the earliest postglacial settlement of interior North Lapland (LaPio);Rankama, Tuija K;218236;11.01.2010;01.01.2010 - 31.07.2014;306.781
AT-viroista AT-tehtäviin siirtyvät KY;University of Helsinki;Methods in Philosophical Bioethics;Takala, Tuija;218254;11.01.2010;01.01.2010 - 31.07.2014;306.781
AT-viroista AT-tehtäviin siirtyvät KY;University of Helsinki;Moral Psychological Basis of Natural Rights, 1200-1600;Mäkinen, Virpi;218226;11.01.2010;01.01.2010 - 31.07.2012;173.521
AT-viroista AT-tehtäviin siirtyvät KY;University of Helsinki;People and Environment. A multidisciplinary study on human agency, housing constructions, and social and ritual space in Egypt 1550-1069 BC with special focus on the Station de Repos area in West Thebes.;Toivari-Viitala, Jaana K;218258;11.01.2010;01.01.2010 - 31.07.2013;240.151
AT-viroista AT-tehtäviin siirtyvät KY;University of Helsinki;Personal networks, voluntary associations and civil society in Russia in a comparative perspective;Lonkila, Markku;218224;11.01.2010;01.01.2010 - 31.07.2011;122.181
AT-viroista AT-tehtäviin siirtyvät KY;University of Helsinki;Problems of Meaning and Truth;Raatikainen, Panu;218235;11.01.2010;01.01.2010 - 31.07.2010;46.021
AT-viroista AT-tehtäviin siirtyvät KY;University of Helsinki;Proof Analysis;Negri, Sara;218227;11.01.2010;01.01.2010 - 31.07.2012;173.521
AT-viroista AT-tehtäviin siirtyvät KY;University of Helsinki;Rights in law and at home. Islamic shari'a as formal and informal legal practice;Dahlgren, A Susanne;218202;11.01.2010;01.01.2010 - 31.07.2013;240.151
AT-viroista AT-tehtäviin siirtyvät KY;University of Helsinki;Rural futures: ethnographies of transformation from Finland, Estonia, Ukraine and Russia;Assmuth, Laura;218201;11.01.2010;01.01.2010 - 31.07.2011;106.890
AT-viroista AT-tehtäviin siirtyvät KY;University of Helsinki;Social and cognitive basis of enmity towards early Jewish Christians;Luomanen, Petri;218225;11.01.2010;01.01.2010 - 31.07.2010;46.021
