x,y
1,382
2,376
3,213
4,193.5
5,132
6,44
7,31
8,26
9,70.5
10,336
11,538
12,550
13,511.5
14,804.5
15,992
16,1039
17,1034
18,1075.5
19,1056
20,1149
21,1208
22,1012.5
23,753
24,619.5
25,326
26,236.5
27,238.5
28,100.5
29,118
30,36.5
31,14.5
32,21
33,82.5
34,426
35,602
36,453.5
37,491
38,794
39,782
40,854.5
41,1075.5
42,1236.5
43,1064.5
44,1314.5
45,1096
46,883.5
47,690
48,566.5
49,417.5
50,385.5
51,485.5
52,507
53,366
54,194.5
55,121
56,77
57,75
58,554
59,666.5
60,526
61,528
62,755.5
63,861
64,976
65,1165
66,1101.5
67,1190
68,1216
69,1406
70,968.5
71,660
72,618.5
73,453
74,471
75,467.5
76,443
77,426.5
78,260
79,148.5
80,65
81,88.5
82,400.5
83,644.5
84,600
85,650.5
86,627
87,837
88,932
89,937.5
90,989.5
91,1171
92,1001.5
93,946.5
94,843
95,623
96,630
97,478
98,643.5
99,742
100,865.5
101,873.5
102,847.5
103,622.5
104,258
105,107.5
106,129.5
107,258.5
108,240
109,358.5
110,520
111,866
112,912
113,950.5
114,1119
115,1319.5
116,971
117,989.5
118,807.5
119,648
120,557
121,552.5
122,683
123,812.5
124,880.5
125,796.5
126,950
127,605.5
128,358
129,113
130,27
131,61.5
132,50.5
133,148.5
134,217.5
135,364.5
136,427.5
137,511
138,608.5
139,607
140,646.5
141,662.5
142,565
143,437.5
144,379.5
145,222.5
146,210
147,170
148,181
149,66
150,27.5
151,34.5
152,39.5
153,96.5
154,149.5
155,516
156,589.5
157,592.5
158,685
159,763
160,946
161,1124
162,1109
163,1030
164,1074.5
165,1271
166,690.5
167,524
168,492.5
169,335.5
170,306.5
171,257.5
172,278
173,226.5
174,194
175,174.5
176,84.5
177,91
178,158
179,601
180,502.5
181,571
182,613.5
183,967.5
184,993.5
185,1107
186,1245
187,1473.5
188,1343.5
189,928
190,794.5
191,616.5
192,713
193,617.5
194,571
195,964.5
196,832
197,744
198,503.5
199,482.5
200,204.5
201,89.5
202,133.5
203,247
204,236
205,195.5
206,455.5
207,583.5
208,856.5
209,1075.5
210,1285.5
211,1142.5
212,1140.5
213,1233.5
214,717.5
215,800.5
216,758
217,675.5
218,739
219,948.5
220,902
221,935
222,780
223,720
224,336.5
225,91
226,65.5
227,141.5
228,152.5
229,152.5
230,271
231,441
232,521.5
233,692.5
234,831.5
235,606
236,733
237,1120
238,548
239,330
240,330.5
