x,y
1,229.5
2,293.5
3,274
4,92.5
5,92.5
6,31
7,22.5
8,18
9,39
10,96
11,237.5
12,525.5
13,483.5
14,632.5
15,909.5
16,848.5
17,848.5
18,885
19,865.5
20,864.5
21,905.5
22,944
23,1051
24,1211
25,337
26,313.5
27,232
28,125
29,157.5
30,56
31,28
32,18.5
33,53
34,96
35,227
36,526.5
37,601
38,694.5
39,765
40,894.5
41,616.5
42,942.5
43,1017.5
44,1033
45,974
46,1156
47,1088
48,1112.5
49,338
50,325.5
51,301.5
52,297.5
53,262.5
54,135.5
55,100
56,66
57,69
58,150.5
59,231.5
60,463
61,650
62,766.5
63,1091.5
64,1018
65,931.5
66,989.5
67,930.5
68,1001.5
69,927.5
70,999
71,935
72,1429
73,400
74,349
75,314.5
76,241
77,207.5
78,123
79,79.5
80,47
81,53.5
82,126
83,235.5
84,368.5
85,539.5
86,812.5
87,830
88,844.5
89,817
90,734.5
91,974.5
92,814
93,791.5
94,1018
95,1238
96,1255
97,454.5
98,465.5
99,499.5
100,401.5
101,511
102,356.5
103,302
104,154.5
105,59
106,35.5
107,107.5
108,263.5
109,376
110,571
111,837
112,942
113,821.5
114,914.5
115,850.5
116,931.5
117,735
118,863.5
119,723
120,533.5
121,487.5
122,431.5
123,574.5
124,551.5
125,548
126,515.5
127,443
128,441
129,147.5
130,80
131,91
132,93.5
133,204
134,217.5
135,339
136,441
137,548.5
138,486.5
139,458.5
140,501
141,574.5
142,506.5
143,421
144,432
145,289
146,233
147,191
148,92.5
149,64
150,32
151,25.5
152,15.5
153,38
154,117.5
155,283.5
156,474
157,601.5
158,803
159,1122.5
160,940
161,1048
162,962
163,870.5
164,1093.5
165,947
166,1022
167,937.5
168,643
169,425
170,359
171,307.5
172,194
173,131.5
174,45.5
175,61
176,84.5
177,48
178,77
179,314
180,479
181,809.5
182,792
183,937.5
184,903.5
185,1032.5
186,1101
187,1046.5
188,1098.5
189,975.5
190,944.5
191,1519
192,1594
193,554
194,457.5
195,525
196,481
197,377
198,449.5
199,321.5
200,187.5
201,73
202,51
203,122.5
204,232
205,474
206,634.5
207,752
208,1038.5
209,812
210,1006.5
211,1008
212,807
213,860
214,784
215,682
216,690
217,592.5
218,494
219,623.5
220,609
221,599.5
222,593.5
223,520
224,349
225,170
226,69
227,92.5
228,165
229,257.5
230,301
231,451
232,650.5
233,627.5
234,572
235,743
236,691.5
237,658.5
238,550.5
239,421
240,784.5
