x,y
1,261
2,267.5
3,182.5
4,116.5
5,38
6,16.5
7,20.5
8,26.5
9,49
10,117.5
11,159.5
12,260
13,172
14,222.5
15,412
16,359.5
17,365.5
18,383
19,357.5
20,352.5
21,475.5
22,541.5
23,450.5
24,247
25,319.5
26,425.5
27,210.5
28,117
29,48
30,36.5
31,25
32,27.5
33,42.5
34,159
35,145
36,198.5
37,261.5
38,335.5
39,344
40,483
41,354.5
42,372
43,506
44,644
45,547
46,435.5
47,600
48,620.5
49,425
50,378.5
51,313.5
52,388
53,141.5
54,101
55,54.5
56,42
57,72
58,94
59,98
60,190.5
61,132
62,252.5
63,324
64,273
65,352.5
66,529.5
67,364.5
68,370
69,393
70,637
71,552
72,298
73,290.5
74,251
75,293
76,295.5
77,188.5
78,90.5
79,39
80,26.5
81,30.5
82,123
83,149
84,281.5
85,155.5
86,247.5
87,225
88,283
89,326
90,341
91,401.5
92,612.5
93,617.5
94,642.5
95,557
96,596
97,593.5
98,491
99,566.5
100,534.5
101,361.5
102,310
103,173.5
104,108
105,67.5
106,63
107,166.5
108,483
109,210
110,627
111,844.5
112,851.5
113,707
114,522.5
115,709.5
116,688
117,653
118,536
119,829
120,719.5
121,543.5
122,569
123,538
124,482.5
125,343.5
126,445
127,233
128,216
129,86.5
130,47.5
131,82.5
132,120
133,307.5
134,501
135,345
136,323.5
137,345.5
138,543
139,575
140,448
141,474
142,585.5
143,505
144,380.5
145,356
146,159
147,128
148,71
149,40.5
150,36.5
151,33
152,32
153,104
154,198.5
155,283
156,617
157,428.5
158,443
159,604.5
160,512
161,440
162,525
163,383.5
164,414
165,334
166,515
167,564.5
168,466
169,404.5
170,219.5
171,289.5
172,148
173,87.5
174,48.5
175,57
176,45
177,41.5
178,123.5
179,286.5
180,425
181,178
182,216
183,335
184,458.5
185,598.5
186,386
187,332
188,427.5
189,461
190,643.5
191,583.5
192,553.5
193,480
194,489
195,561
196,421.5
197,402.5
198,247.5
199,119.5
200,93
201,52.5
202,72.5
203,85
204,140.5
205,93
206,78
207,254
208,246
209,634.5
210,173
211,537.5
212,438.5
213,508.5
214,544.5
215,461.5
216,390
217,419
218,332.5
219,483
220,472
221,391.5
222,263
223,213
224,137
225,100
226,61
227,102
228,131.5
229,197.5
230,457
231,308.5
232,559.5
233,594.5
234,578.5
235,326
236,402
237,547
238,412.5
239,293.5
240,180.5
