x,y
1,241.5
2,93
3,77.5
4,63
5,34
6,20
7,7.5
8,11
9,28.5
10,98
11,213
12,240
13,332.5
14,476
15,684.5
16,653.5
17,681.5
18,613
19,709
20,587
21,563.5
22,385
23,410.5
24,362
25,236.5
26,135.5
27,74.5
28,58
29,39.5
30,24.5
31,7.5
32,17
33,28.5
34,75.5
35,207.5
36,243.5
37,356
38,421.5
39,772
40,749
41,617.5
42,587.5
43,643.5
44,592
45,538
46,436
47,357
48,342
49,258
50,141.5
51,119
52,100.5
53,42
54,49.5
55,30.5
56,30.5
57,27
58,143.5
59,175.5
60,197.5
61,318
62,526.5
63,632.5
64,683.5
65,653
66,680
67,671.5
68,512.5
69,527
70,411.5
71,384
72,293.5
73,273.5
74,163
75,170
76,107.5
77,88
78,61
79,42
80,33.5
81,35.5
82,94.5
83,162.5
84,206.5
85,313
86,501
87,664
88,756.5
89,615.5
90,621
91,636
92,666
93,546.5
94,419
95,397
96,343
97,315.5
98,195
99,223.5
100,207
101,189
102,122.5
103,116
104,92
105,33
106,38.5
107,50
108,115
109,203.5
110,487.5
111,627.5
112,659
113,595
114,605
115,524.5
116,471.5
117,442.5
118,327
119,355.5
120,389.5
121,319
122,259.5
123,316.5
124,215.5
125,195
126,241
127,209
128,169.5
129,69
130,23.5
131,28
132,51
133,100.5
134,144
135,314.5
136,364.5
137,361
138,447.5
139,385
140,380
141,362.5
142,364
143,324
144,332.5
145,260
146,133.5
147,86.5
148,48.5
149,34
150,23
151,15.5
152,20
153,39
154,105.5
155,268.5
156,223
157,363
158,558.5
159,735
160,784
161,603
162,611
163,655
164,689.5
165,580
166,513.5
167,356
168,358.5
169,278
170,156.5
171,120.5
172,67.5
173,49
174,29
175,27.5
176,43.5
177,28
178,135.5
179,196
180,285
181,363.5
182,522
183,778.5
184,797
185,772.5
186,626.5
187,774
188,632
189,650.5
190,459
191,443.5
192,404.5
193,285.5
194,268.5
195,246
196,227
197,169.5
198,137.5
199,84.5
200,118.5
201,42
202,40
203,73.5
204,170.5
205,172.5
206,386.5
207,405.5
208,550.5
209,685
210,603
211,618.5
212,509.5
213,477.5
214,430.5
215,397.5
216,400.5
217,287
218,267.5
219,273
220,212
221,220
222,168.5
223,184.5
224,164
225,71
226,31
227,41
228,77
229,117
230,192.5
231,422.5
232,413.5
233,385.5
234,441.5
235,398.5
236,443
237,387.5
238,349.5
239,282
240,274.5
