x,y
1,59.5
2,35.5
3,23
4,21.5
5,20
6,26.5
7,6
8,17
9,7.5
10,19
11,49.5
12,109.5
13,155
14,224
15,256.5
16,230.5
17,270
18,309
19,254.5
20,231.5
21,179
22,175.5
23,166.5
24,140.5
25,99.5
26,46.5
27,41.5
28,20.5
29,28
30,13.5
31,16.5
32,20.5
33,11
34,17
35,50.5
36,129
37,180.5
38,199.5
39,264.5
40,240
41,232.5
42,221
43,274
44,236.5
45,188
46,181
47,153.5
48,124
49,82.5
50,84.5
51,56
52,55
53,51
54,52
55,36
56,21.5
57,10.5
58,18
59,59
60,93.5
61,162.5
62,213
63,332.5
64,234.5
65,280.5
66,251.5
67,276.5
68,282.5
69,169.5
70,163.5
71,151.5
72,159
73,101
74,91.5
75,46.5
76,86.5
77,62.5
78,42
79,27
80,43.5
81,13
82,23.5
83,64.5
84,111.5
85,157.5
86,222
87,243
88,289
89,246.5
90,236.5
91,257.5
92,203.5
93,188
94,151
95,180
96,181
97,131.5
98,143.5
99,136
100,165.5
101,160.5
102,113
103,71
104,71.5
105,18.5
106,7.5
107,10
108,35.5
109,108
110,149
111,181
112,169
113,225
114,210.5
115,205
116,171
117,152
118,154
119,142
120,139
121,123
122,139
123,128.5
124,180
125,147
126,217
127,131
128,107.5
129,29.5
130,4.5
131,3
132,17
133,43.5
134,42.5
135,77
136,93
137,91
138,128
139,143
140,156
141,131
142,121
143,125
144,99
145,68.5
146,50.5
147,41
148,42.5
149,40.5
150,36.5
151,38.5
152,38
153,17
154,24.5
155,45
156,103.5
157,139
158,184
159,220
160,275.5
161,258
162,266.5
163,149.5
164,207
165,150
166,172.5
167,115
168,129
169,97.5
170,80
171,42.5
172,22
173,26
174,33
175,14
176,20
177,8
178,27
179,68.5
180,100.5
181,184.5
182,264.5
183,271.5
184,247
185,245
186,243.5
187,253
188,276
189,177.5
190,226
191,190
192,169.5
193,112.5
194,150.5
195,143
196,110.5
197,110
198,77.5
199,64
200,74
201,25.5
202,9
203,15
204,29
205,60
206,77.5
207,129.5
208,148
209,278.5
210,172
211,197
212,164
213,175
214,151
215,135
216,90
217,87.5
218,119.5
219,138
220,138
221,153.5
222,137
223,97
224,88
225,33.5
226,7
227,9
228,39.5
229,63.5
230,111.5
231,89.5
232,135.5
233,141.5
234,121.5
235,141
236,119.5
237,133.5
238,140.5
239,85.5
240,80.5
